;filename;components;SMILES;CAS;InChI;Temperature, K;Pressure, kPa;Speed of sound, m/s;Speed of sound, m/s_std
180048;j.jct.2009.12.008;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;303.15;101.325;1279.5;0.12795
180049;j.jct.2009.12.008;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;308.15;101.325;1260.7;0.12607
180056;j.jct.2009.12.008;propanone;CC(C)=O;67-64-1;InChIKey=CSCPPACGZOOCGX-UHFFFAOYSA-N;298.15;101.325;1162.0;0.1162
180057;j.jct.2009.12.008;propanone;CC(C)=O;67-64-1;InChIKey=CSCPPACGZOOCGX-UHFFFAOYSA-N;303.15;101.325;1141.2;0.11412
180058;j.jct.2009.12.008;propanone;CC(C)=O;67-64-1;InChIKey=CSCPPACGZOOCGX-UHFFFAOYSA-N;308.15;101.325;1121.4;0.11214
180065;j.jct.2009.12.008;butanone;CCC(C)=O;78-93-3;InChIKey=ZWEHNKRNPOVVGH-UHFFFAOYSA-N;298.15;101.325;1191.6;0.11916
180066;j.jct.2009.12.008;butanone;CCC(C)=O;78-93-3;InChIKey=ZWEHNKRNPOVVGH-UHFFFAOYSA-N;303.15;101.325;1173.5;0.11735
180067;j.jct.2009.12.008;butanone;CCC(C)=O;78-93-3;InChIKey=ZWEHNKRNPOVVGH-UHFFFAOYSA-N;308.15;101.325;1153.8;0.11538
180074;j.jct.2009.12.008;acetophenone;CC(=O)c1ccccc1;98-86-2;InChIKey=KWOLFJPFCHCOCG-UHFFFAOYSA-N;298.15;101.325;1476.2;0.14762
180075;j.jct.2009.12.008;acetophenone;CC(=O)c1ccccc1;98-86-2;InChIKey=KWOLFJPFCHCOCG-UHFFFAOYSA-N;303.15;101.325;1457.2;0.14572
180076;j.jct.2009.12.008;acetophenone;CC(=O)c1ccccc1;98-86-2;InChIKey=KWOLFJPFCHCOCG-UHFFFAOYSA-N;308.15;101.325;1441.2;0.14412
190085;j.jct.2010.05.016;2,2'-methylenebisfuran;C(c1occc1)c2occc2;1197-40-6;InChIKey=YHGNXEIQSHICNK-UHFFFAOYSA-N;298.15;101.0;1369.0;4.107
190087;j.jct.2010.05.016;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;298.15;101.0;1104.6;3.3138
190089;j.jct.2010.05.016;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;298.15;101.0;1141.8;3.4254
190091;j.jct.2010.05.016;1-propanol;CCCO;71-23-8;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;298.15;101.0;1205.8;3.6174
190093;j.jct.2010.05.016;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;298.15;101.0;1241.3;3.7239
190095;j.jct.2010.05.016;1-pentanol;CCCCCO;71-41-0;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;298.15;101.0;1281.2;3.8436
190097;j.jct.2010.05.016;1-hexanol;CCCCCCO;25917-35-5;InChIKey=ZSIAUFGUXNUGDI-UHFFFAOYSA-N;298.15;101.0;1312.4;3.9372
194421;j.jct.2010.07.014;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;293.15;101.325;1118.83;0.5
194422;j.jct.2010.07.014;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;303.15;101.325;1085.99;0.5
194423;j.jct.2010.07.014;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;313.15;101.325;1053.55;0.5
194424;j.jct.2010.07.014;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;323.15;101.325;1021.53;0.5
194430;j.jct.2010.07.014;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;303.15;101.325;1127.2;0.5
194431;j.jct.2010.07.014;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;313.15;101.325;1093.64;0.5
194432;j.jct.2010.07.014;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;323.15;101.325;1060.44;0.5
203932;j.jct.2010.11.007;1,6-octadien-3-ol, 3,7-dimethyl-;CC(C)=CCCC(C)(O)C=C;11024-20-7;InChIKey=CDOSHBSSFJOMGT-UHFFFAOYSA-N;283.15;101.325;1370.3;0.2
203933;j.jct.2010.11.007;1,6-octadien-3-ol, 3,7-dimethyl-;CC(C)=CCCC(C)(O)C=C;11024-20-7;InChIKey=CDOSHBSSFJOMGT-UHFFFAOYSA-N;298.15;101.325;1315.1;0.2
203934;j.jct.2010.11.007;1,6-octadien-3-ol, 3,7-dimethyl-;CC(C)=CCCC(C)(O)C=C;11024-20-7;InChIKey=CDOSHBSSFJOMGT-UHFFFAOYSA-N;313.15;101.325;1260.8;0.2
203935;j.jct.2010.11.007;1,6-octadien-3-ol, 3,7-dimethyl-;CC(C)=CCCC(C)(O)C=C;11024-20-7;InChIKey=CDOSHBSSFJOMGT-UHFFFAOYSA-N;328.15;101.325;1207.6;0.2
203945;j.jct.2010.11.007;1-propanol;CCCO;71-23-8;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;283.15;101.325;1257.9;0.2
203946;j.jct.2010.11.007;1-propanol;CCCO;71-23-8;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;298.15;101.325;1206.3;0.2
203947;j.jct.2010.11.007;1-propanol;CCCO;71-23-8;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;313.15;101.325;1156.8;0.2
203948;j.jct.2010.11.007;1-propanol;CCCO;71-23-8;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;328.15;101.325;1106.8;0.2
208659;j.jct.2010.12.016;N-methyl-2-pyrrolidone;CN1CCCC1=O;26138-58-9;InChIKey=SECXISVLQFMRJM-UHFFFAOYSA-N;298.15;101.325;1546.0;1.0
208660;j.jct.2010.12.016;N-methyl-2-pyrrolidone;CN1CCCC1=O;26138-58-9;InChIKey=SECXISVLQFMRJM-UHFFFAOYSA-N;308.15;101.325;1508.0;1.0
208663;j.jct.2010.12.016;benzene;c1ccccc1;27271-55-2;InChIKey=UHOVQNZJYSORNB-UHFFFAOYSA-N;298.15;101.325;1298.0;1.0
208664;j.jct.2010.12.016;benzene;c1ccccc1;27271-55-2;InChIKey=UHOVQNZJYSORNB-UHFFFAOYSA-N;308.15;101.325;1259.0;1.0
208667;j.jct.2010.12.016;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;298.15;101.325;1303.0;1.0
208668;j.jct.2010.12.016;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;308.15;101.325;1262.0;1.0
208671;j.jct.2010.12.016;cyclohexane;C1CCCCC1;25012-93-5;InChIKey=XDTMQSROBMDMFD-UHFFFAOYSA-N;298.15;101.325;1255.0;1.0
208672;j.jct.2010.12.016;cyclohexane;C1CCCCC1;25012-93-5;InChIKey=XDTMQSROBMDMFD-UHFFFAOYSA-N;308.15;101.325;1212.0;1.0
210575;j.jct.2010.12.028;2-methylaniline;Cc1ccccc1N;95-53-4;InChIKey=RNVCVTLRINQCPJ-UHFFFAOYSA-N;298.15;101.325;1602.57;1.0
210577;j.jct.2010.12.028;pyridine;c1ccncc1;152758-95-7;InChIKey=JUJWROOIHBZHMG-UHFFFAOYSA-N;298.15;101.325;1417.81;1.0
210579;j.jct.2010.12.028;2-methylpyridine;Cc1ccccn1;109-06-8;InChIKey=BSKHPKMHTQYZBB-UHFFFAOYSA-N;298.15;101.325;1380.12;1.0
210581;j.jct.2010.12.028;3-methylpyridine;Cc1cccnc1;82005-08-1;InChIKey=ITQTTZVARXURQS-UHFFFAOYSA-N;298.15;101.325;1424.01;1.0
210583;j.jct.2010.12.028;4-methylpyridine;Cc1ccncc1;51010-00-5;InChIKey=FKNQCJSGGFJEIZ-UHFFFAOYSA-N;298.15;101.325;1431.5;1.0
211856;j.jct.2011.01.005;1-propanol;CCCO;71-23-8;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;298.15;101.325;1204.9;0.1
211864;j.jct.2011.01.005;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;298.15;101.325;1239.0;0.1
211872;j.jct.2011.01.005;propanone;CC(C)=O;67-64-1;InChIKey=CSCPPACGZOOCGX-UHFFFAOYSA-N;298.15;101.325;1239.0;0.1
213262;j.jct.2011.01.014;2-hydroxyethylammonium acetate;CC([O-])=O.[NH3+]CCO;54300-24-2;InChIKey=VVLAIYIMMFWRFW-UHFFFAOYSA-N;323.15;101.0;1735.99;0.5
213263;j.jct.2011.01.014;2-hydroxyethylammonium acetate;CC([O-])=O.[NH3+]CCO;54300-24-2;InChIKey=VVLAIYIMMFWRFW-UHFFFAOYSA-N;320.65;101.0;1741.26;0.5
213264;j.jct.2011.01.014;2-hydroxyethylammonium acetate;CC([O-])=O.[NH3+]CCO;54300-24-2;InChIKey=VVLAIYIMMFWRFW-UHFFFAOYSA-N;318.15;101.0;1746.54;0.5
213265;j.jct.2011.01.014;2-hydroxyethylammonium acetate;CC([O-])=O.[NH3+]CCO;54300-24-2;InChIKey=VVLAIYIMMFWRFW-UHFFFAOYSA-N;315.65;101.0;1751.86;0.5
213266;j.jct.2011.01.014;2-hydroxyethylammonium acetate;CC([O-])=O.[NH3+]CCO;54300-24-2;InChIKey=VVLAIYIMMFWRFW-UHFFFAOYSA-N;313.15;101.0;1757.17;0.5
213267;j.jct.2011.01.014;2-hydroxyethylammonium acetate;CC([O-])=O.[NH3+]CCO;54300-24-2;InChIKey=VVLAIYIMMFWRFW-UHFFFAOYSA-N;310.65;101.0;1762.5;0.5
213268;j.jct.2011.01.014;2-hydroxyethylammonium acetate;CC([O-])=O.[NH3+]CCO;54300-24-2;InChIKey=VVLAIYIMMFWRFW-UHFFFAOYSA-N;308.15;101.0;1767.91;0.5
213269;j.jct.2011.01.014;2-hydroxyethylammonium acetate;CC([O-])=O.[NH3+]CCO;54300-24-2;InChIKey=VVLAIYIMMFWRFW-UHFFFAOYSA-N;305.65;101.0;1773.43;0.5
213270;j.jct.2011.01.014;2-hydroxyethylammonium acetate;CC([O-])=O.[NH3+]CCO;54300-24-2;InChIKey=VVLAIYIMMFWRFW-UHFFFAOYSA-N;303.15;101.0;1779.04;0.5
213271;j.jct.2011.01.014;2-hydroxyethylammonium acetate;CC([O-])=O.[NH3+]CCO;54300-24-2;InChIKey=VVLAIYIMMFWRFW-UHFFFAOYSA-N;300.65;101.0;1784.81;0.5
213272;j.jct.2011.01.014;2-hydroxyethylammonium acetate;CC([O-])=O.[NH3+]CCO;54300-24-2;InChIKey=VVLAIYIMMFWRFW-UHFFFAOYSA-N;298.15;101.0;1790.73;0.5
213273;j.jct.2011.01.014;2-hydroxyethylammonium acetate;CC([O-])=O.[NH3+]CCO;54300-24-2;InChIKey=VVLAIYIMMFWRFW-UHFFFAOYSA-N;295.65;101.0;1796.84;0.5
213274;j.jct.2011.01.014;2-hydroxyethylammonium acetate;CC([O-])=O.[NH3+]CCO;54300-24-2;InChIKey=VVLAIYIMMFWRFW-UHFFFAOYSA-N;293.15;101.0;1803.21;0.5
213275;j.jct.2011.01.014;2-hydroxyethylammonium acetate;CC([O-])=O.[NH3+]CCO;54300-24-2;InChIKey=VVLAIYIMMFWRFW-UHFFFAOYSA-N;290.65;101.0;1809.95;0.5
213276;j.jct.2011.01.014;2-hydroxyethylammonium acetate;CC([O-])=O.[NH3+]CCO;54300-24-2;InChIKey=VVLAIYIMMFWRFW-UHFFFAOYSA-N;288.15;101.0;1817.23;0.5
213292;j.jct.2011.01.014;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;323.15;101.0;1542.13;0.5
213293;j.jct.2011.01.014;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;320.65;101.0;1539.6;0.5
213294;j.jct.2011.01.014;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;318.15;101.0;1536.62;0.5
213295;j.jct.2011.01.014;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;315.65;101.0;1533.2;0.5
213296;j.jct.2011.01.014;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;313.15;101.0;1529.34;0.5
213297;j.jct.2011.01.014;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;310.65;101.0;1525.04;0.5
213298;j.jct.2011.01.014;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;308.15;101.0;1520.3;0.5
213299;j.jct.2011.01.014;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;305.65;101.0;1515.11;0.5
213300;j.jct.2011.01.014;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;303.15;101.0;1509.48;0.5
213301;j.jct.2011.01.014;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;300.65;101.0;1503.41;0.5
213302;j.jct.2011.01.014;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;298.15;101.0;1496.89;0.5
213303;j.jct.2011.01.014;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;295.65;101.0;1489.93;0.5
213304;j.jct.2011.01.014;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;293.15;101.0;1482.53;0.5
213305;j.jct.2011.01.014;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;290.65;101.0;1474.69;0.5
213306;j.jct.2011.01.014;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;288.15;101.0;1466.4;0.5
213322;j.jct.2011.01.014;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;323.15;101.0;1021.99;0.5
213323;j.jct.2011.01.014;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;320.65;101.0;1029.9;0.5
213324;j.jct.2011.01.014;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;318.15;101.0;1037.93;0.5
213325;j.jct.2011.01.014;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;315.65;101.0;1045.91;0.5
213326;j.jct.2011.01.014;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;313.15;101.0;1053.97;0.5
213327;j.jct.2011.01.014;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;310.65;101.0;1062.07;0.5
213328;j.jct.2011.01.014;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;308.15;101.0;1070.15;0.5
213329;j.jct.2011.01.014;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;305.65;101.0;1078.3;0.5
213330;j.jct.2011.01.014;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;303.15;101.0;1086.46;0.5
213331;j.jct.2011.01.014;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;300.65;101.0;1094.69;0.5
213332;j.jct.2011.01.014;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;298.15;101.0;1102.98;0.5
213333;j.jct.2011.01.014;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;295.65;101.0;1111.28;0.5
213334;j.jct.2011.01.014;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;293.15;101.0;1119.49;0.5
213335;j.jct.2011.01.014;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;290.65;101.0;1127.69;0.5
213336;j.jct.2011.01.014;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;288.15;101.0;1136.34;0.5
213352;j.jct.2011.01.014;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;323.15;101.0;1059.58;0.5
213353;j.jct.2011.01.014;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;320.65;101.0;1067.9;0.5
213354;j.jct.2011.01.014;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;318.15;101.0;1076.22;0.5
213355;j.jct.2011.01.014;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;315.65;101.0;1084.53;0.5
213356;j.jct.2011.01.014;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;313.15;101.0;1092.85;0.5
213357;j.jct.2011.01.014;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;310.65;101.0;1101.24;0.5
213358;j.jct.2011.01.014;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;308.15;101.0;1109.66;0.5
213359;j.jct.2011.01.014;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;305.65;101.0;1118.06;0.5
213360;j.jct.2011.01.014;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;303.15;101.0;1126.5;0.5
213361;j.jct.2011.01.014;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;300.65;101.0;1134.98;0.5
213362;j.jct.2011.01.014;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;298.15;101.0;1143.5;0.5
213363;j.jct.2011.01.014;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;295.65;101.0;1152.03;0.5
213364;j.jct.2011.01.014;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;293.15;101.0;1160.63;0.5
213365;j.jct.2011.01.014;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;290.65;101.0;1169.17;0.5
213366;j.jct.2011.01.014;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;288.15;101.0;1177.84;0.5
224917;j.jct.2011.05.003;2-heptanone;CCCCCC(C)=O;29299-43-2;InChIKey=CATSNJVOTSVZJV-UHFFFAOYSA-N;293.15;101.325;1281.92;0.1
224918;j.jct.2011.05.003;2-heptanone;CCCCCC(C)=O;29299-43-2;InChIKey=CATSNJVOTSVZJV-UHFFFAOYSA-N;298.15;101.325;1262.49;0.1
224919;j.jct.2011.05.003;2-heptanone;CCCCCC(C)=O;29299-43-2;InChIKey=CATSNJVOTSVZJV-UHFFFAOYSA-N;303.15;101.325;1244.14;0.1
224922;j.jct.2011.05.003;dipropylamine;CCCNCCC;142-84-7;InChIKey=WEHWNAOGRSTTBQ-UHFFFAOYSA-N;293.15;101.325;1209.38;0.1
224923;j.jct.2011.05.003;dipropylamine;CCCNCCC;142-84-7;InChIKey=WEHWNAOGRSTTBQ-UHFFFAOYSA-N;298.15;101.325;1188.0;0.1
224924;j.jct.2011.05.003;dipropylamine;CCCNCCC;142-84-7;InChIKey=WEHWNAOGRSTTBQ-UHFFFAOYSA-N;303.15;101.325;1167.57;0.1
224928;j.jct.2011.05.003;N-butylbutanamine;CCCCNCCCC;71230-78-9;InChIKey=JQVDAXLFBXTEQA-UHFFFAOYSA-N;293.15;101.325;1261.23;0.1
224929;j.jct.2011.05.003;N-butylbutanamine;CCCCNCCCC;71230-78-9;InChIKey=JQVDAXLFBXTEQA-UHFFFAOYSA-N;298.15;101.325;1241.38;0.1
224930;j.jct.2011.05.003;N-butylbutanamine;CCCCNCCCC;71230-78-9;InChIKey=JQVDAXLFBXTEQA-UHFFFAOYSA-N;303.15;101.325;1222.21;0.1
224934;j.jct.2011.05.003;triethylamine;CCN(CC)CC;121-44-8;InChIKey=ZMANZCXQSJIPKH-UHFFFAOYSA-N;293.15;101.325;1132.47;0.1
224935;j.jct.2011.05.003;triethylamine;CCN(CC)CC;121-44-8;InChIKey=ZMANZCXQSJIPKH-UHFFFAOYSA-N;298.15;101.325;1110.9;0.1
224936;j.jct.2011.05.003;triethylamine;CCN(CC)CC;121-44-8;InChIKey=ZMANZCXQSJIPKH-UHFFFAOYSA-N;303.15;101.325;1090.65;0.1
239414;j.jct.2011.08.028;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;298.15;101.0;1103.0;1.0
239417;j.jct.2011.08.028;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;298.15;101.0;1144.0;1.0
239420;j.jct.2011.08.028;1-propanol;CCCO;71-23-8;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;298.15;101.0;1207.0;1.0
239423;j.jct.2011.08.028;2-propanol;CC(C)O;8013-70-5;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;298.15;101.0;1139.0;1.0
239648;j.jct.2011.09.001;decane;CCCCCCCCCC;63335-87-5;InChIKey=DIOQZVSQGTUSAI-UHFFFAOYSA-N;293.15;101.0;1254.6;0.1
239649;j.jct.2011.09.001;decane;CCCCCCCCCC;63335-87-5;InChIKey=DIOQZVSQGTUSAI-UHFFFAOYSA-N;303.15;101.0;1215.1;0.1
239650;j.jct.2011.09.001;decane;CCCCCCCCCC;63335-87-5;InChIKey=DIOQZVSQGTUSAI-UHFFFAOYSA-N;313.15;101.0;1176.1;0.1
239651;j.jct.2011.09.001;decane;CCCCCCCCCC;63335-87-5;InChIKey=DIOQZVSQGTUSAI-UHFFFAOYSA-N;323.15;101.0;1137.6;0.1
239652;j.jct.2011.09.001;decane;CCCCCCCCCC;63335-87-5;InChIKey=DIOQZVSQGTUSAI-UHFFFAOYSA-N;333.15;101.0;1099.8;0.1
239653;j.jct.2011.09.001;decane;CCCCCCCCCC;63335-87-5;InChIKey=DIOQZVSQGTUSAI-UHFFFAOYSA-N;343.15;101.0;1062.3;0.1
240688;j.jct.2011.09.008;1-propoxy-2-propanol;CCCOCC(C)O;1569-01-3;InChIKey=FENFUOGYJVOCRY-UHFFFAOYSA-N;283.15;101.0;1301.94;0.5
240689;j.jct.2011.09.008;1-propoxy-2-propanol;CCCOCC(C)O;1569-01-3;InChIKey=FENFUOGYJVOCRY-UHFFFAOYSA-N;288.15;101.0;1283.21;0.5
240690;j.jct.2011.09.008;1-propoxy-2-propanol;CCCOCC(C)O;1569-01-3;InChIKey=FENFUOGYJVOCRY-UHFFFAOYSA-N;293.15;101.0;1264.52;0.5
240691;j.jct.2011.09.008;1-propoxy-2-propanol;CCCOCC(C)O;1569-01-3;InChIKey=FENFUOGYJVOCRY-UHFFFAOYSA-N;298.15;101.0;1245.79;0.5
240692;j.jct.2011.09.008;1-propoxy-2-propanol;CCCOCC(C)O;1569-01-3;InChIKey=FENFUOGYJVOCRY-UHFFFAOYSA-N;303.15;101.0;1227.33;0.5
240693;j.jct.2011.09.008;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;283.15;101.0;1447.31;0.5
240694;j.jct.2011.09.008;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;288.15;101.0;1465.93;0.5
240695;j.jct.2011.09.008;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;293.15;101.0;1482.34;0.5
240696;j.jct.2011.09.008;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;298.15;101.0;1496.7;0.5
240697;j.jct.2011.09.008;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;303.15;101.0;1509.13;0.5
242857;j.jct.2011.10.002;2-methylaniline;Cc1ccccc1N;95-53-4;InChIKey=RNVCVTLRINQCPJ-UHFFFAOYSA-N;298.15;101.325;1602.57;0.1
242859;j.jct.2011.10.002;tetrahydropyran;C1CCOCC1;142-68-7;InChIKey=DHXVGJBLRPWPCS-UHFFFAOYSA-N;298.15;101.325;1269.88;0.1
242861;j.jct.2011.10.002;2-methylpyridine;Cc1ccccn1;109-06-8;InChIKey=BSKHPKMHTQYZBB-UHFFFAOYSA-N;298.15;101.325;1380.12;0.1
242863;j.jct.2011.10.002;3-methylpyridine;Cc1cccnc1;82005-08-1;InChIKey=ITQTTZVARXURQS-UHFFFAOYSA-N;298.15;101.325;1424.01;0.1
242865;j.jct.2011.10.002;4-methylpyridine;Cc1ccncc1;51010-00-5;InChIKey=FKNQCJSGGFJEIZ-UHFFFAOYSA-N;298.15;101.325;1431.5;0.1
250116;j.jct.2011.12.002;N,N-dimethylformamide;CN(C)C=O;68-12-2;InChIKey=ZMXDDKWLCZADIW-UHFFFAOYSA-N;298.15;101.0;1457.69;0.21
250117;j.jct.2011.12.002;N,N-dimethylformamide;CN(C)C=O;68-12-2;InChIKey=ZMXDDKWLCZADIW-UHFFFAOYSA-N;303.15;101.0;1438.26;0.21
250118;j.jct.2011.12.002;N,N-dimethylformamide;CN(C)C=O;68-12-2;InChIKey=ZMXDDKWLCZADIW-UHFFFAOYSA-N;308.15;101.0;1421.95;0.21
250119;j.jct.2011.12.002;N,N-dimethylformamide;CN(C)C=O;68-12-2;InChIKey=ZMXDDKWLCZADIW-UHFFFAOYSA-N;313.15;101.0;1395.69;0.21
250128;j.jct.2011.12.002;1-pentanol;CCCCCO;71-41-0;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;298.15;101.0;1275.0;0.21
250129;j.jct.2011.12.002;1-pentanol;CCCCCO;71-41-0;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;303.15;101.0;1258.3;0.21
250130;j.jct.2011.12.002;1-pentanol;CCCCCO;71-41-0;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;308.15;101.0;1247.6;0.21
250131;j.jct.2011.12.002;1-pentanol;CCCCCO;71-41-0;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;313.15;101.0;1225.0;0.21
250140;j.jct.2011.12.002;1-hexanol;CCCCCCO;25917-35-5;InChIKey=ZSIAUFGUXNUGDI-UHFFFAOYSA-N;298.15;101.0;1304.72;0.21
250141;j.jct.2011.12.002;1-hexanol;CCCCCCO;25917-35-5;InChIKey=ZSIAUFGUXNUGDI-UHFFFAOYSA-N;303.15;101.0;1287.9;0.21
250142;j.jct.2011.12.002;1-hexanol;CCCCCCO;25917-35-5;InChIKey=ZSIAUFGUXNUGDI-UHFFFAOYSA-N;308.15;101.0;1271.14;0.21
250143;j.jct.2011.12.002;1-hexanol;CCCCCCO;25917-35-5;InChIKey=ZSIAUFGUXNUGDI-UHFFFAOYSA-N;313.15;101.0;1251.6;0.21
